experiment_name,sigma,noise,eps,top_1_acc_train,top_1_acc_cert,top_1_acc_pred
cifar_laplace_025,0.25,LaplaceNoise,0.6428571428571428,0.964500000000001,0.4338,0.8204
cifar_laplace_025,0.25,LaplaceNoise,0.673469387755102,0.964500000000001,0.4177,0.8204
cifar_laplace_025,0.25,LaplaceNoise,0.7040816326530612,0.964500000000001,0.4022,0.8204
cifar_laplace_025,0.25,LaplaceNoise,0.7346938775510203,0.964500000000001,0.3908,0.8204
cifar_laplace_025,0.25,LaplaceNoise,0.7653061224489796,0.964500000000001,0.3793,0.8204
cifar_laplace_025,0.25,LaplaceNoise,0.7959183673469388,0.964500000000001,0.3663,0.8204
cifar_laplace_025,0.25,LaplaceNoise,0.826530612244898,0.964500000000001,0.3478,0.8204
cifar_laplace_025,0.25,LaplaceNoise,0.8571428571428571,0.964500000000001,0.3357,0.8204
cifar_laplace_025,0.25,LaplaceNoise,0.8877551020408163,0.964500000000001,0.3195,0.8204
cifar_laplace_025,0.25,LaplaceNoise,0.9183673469387755,0.964500000000001,0.3022,0.8204
cifar_laplace_025,0.25,LaplaceNoise,0.9489795918367346,0.964500000000001,0.278,0.8204
cifar_laplace_025,0.25,LaplaceNoise,0.9795918367346939,0.964500000000001,0.278,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.010204081632653,0.964500000000001,0.2351,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.0408163265306123,0.964500000000001,0.2351,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.0714285714285714,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.1020408163265305,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.1326530612244898,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.163265306122449,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.193877551020408,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.2244897959183674,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.2551020408163265,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.2857142857142856,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.316326530612245,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.346938775510204,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.3775510204081631,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.4081632653061225,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.4387755102040816,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.4693877551020407,0.964500000000001,0.0,0.8204
cifar_laplace_025,0.25,LaplaceNoise,1.5,0.964500000000001,0.0,0.8204
cifar_expinf_025,0.25,ExpInfNoise,0.0,0.6479399999999993,0.642,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.030612244897959183,0.6479399999999993,0.6311,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.061224489795918366,0.6479399999999993,0.6186,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.09183673469387754,0.6479399999999993,0.6059,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.12244897959183673,0.6479399999999993,0.5947,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.15306122448979592,0.6479399999999993,0.5836,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.18367346938775508,0.6479399999999993,0.5703,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.21428571428571427,0.6479399999999993,0.5576,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.24489795918367346,0.6479399999999993,0.5425,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.2755102040816326,0.6479399999999993,0.5271,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.30612244897959184,0.6479399999999993,0.5123,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.336734693877551,0.6479399999999993,0.4936,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.36734693877551017,0.6479399999999993,0.4708,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.3979591836734694,0.6479399999999993,0.4464,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.42857142857142855,0.6479399999999993,0.4132,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.45918367346938777,0.6479399999999993,0.3692,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.4897959183673469,0.6479399999999993,0.2543,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.5204081632653061,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.5510204081632653,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.5816326530612245,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.6122448979591837,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.6428571428571428,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.673469387755102,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.7040816326530612,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.7346938775510203,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.7653061224489796,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.7959183673469388,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.826530612244898,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.8571428571428571,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.8877551020408163,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.9183673469387755,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.9489795918367346,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,0.9795918367346939,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.010204081632653,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.0408163265306123,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.0714285714285714,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.1020408163265305,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.1326530612244898,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.163265306122449,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.193877551020408,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.2244897959183674,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.2551020408163265,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.2857142857142856,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.316326530612245,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.346938775510204,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.3775510204081631,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.4081632653061225,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.4387755102040816,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.4693877551020407,0.6479399999999993,0.0,0.6825
cifar_expinf_025,0.25,ExpInfNoise,1.5,0.6479399999999993,0.0,0.6825
cifar_uniform_025,0.25,UniformNoise,0.0,0.6166599999999997,0.6038,0.6447
cifar_uniform_025,0.25,UniformNoise,0.030612244897959183,0.6166599999999997,0.5827,0.6447
cifar_uniform_025,0.25,UniformNoise,0.061224489795918366,0.6166599999999997,0.5568,0.6447
cifar_uniform_025,0.25,UniformNoise,0.09183673469387754,0.6166599999999997,0.5334,0.6447
cifar_uniform_025,0.25,UniformNoise,0.12244897959183673,0.6166599999999997,0.5052,0.6447
cifar_uniform_025,0.25,UniformNoise,0.15306122448979592,0.6166599999999997,0.4783,0.6447
cifar_uniform_025,0.25,UniformNoise,0.18367346938775508,0.6166599999999997,0.4388,0.6447
cifar_uniform_025,0.25,UniformNoise,0.21428571428571427,0.6166599999999997,0.3892,0.6447
cifar_uniform_025,0.25,UniformNoise,0.24489795918367346,0.6166599999999997,0.2311,0.6447
cifar_uniform_025,0.25,UniformNoise,0.2755102040816326,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.30612244897959184,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.336734693877551,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.36734693877551017,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.3979591836734694,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.42857142857142855,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.45918367346938777,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.4897959183673469,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.5204081632653061,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.5510204081632653,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.5816326530612245,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.6122448979591837,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.6428571428571428,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.673469387755102,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.7040816326530612,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.7346938775510203,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.7653061224489796,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.7959183673469388,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.826530612244898,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.8571428571428571,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.8877551020408163,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.9183673469387755,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.9489795918367346,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,0.9795918367346939,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.010204081632653,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.0408163265306123,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.0714285714285714,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.1020408163265305,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.1326530612244898,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.163265306122449,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.193877551020408,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.2244897959183674,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.2551020408163265,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.2857142857142856,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.316326530612245,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.346938775510204,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.3775510204081631,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.4081632653061225,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.4387755102040816,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.4693877551020407,0.6166599999999997,0.0,0.6447
cifar_uniform_025,0.25,UniformNoise,1.5,0.6166599999999997,0.0,0.6447
cifar_laplace_05,0.5,LaplaceNoise,0.0,0.8235400000000003,0.6441,0.7272
cifar_laplace_05,0.5,LaplaceNoise,0.030612244897959183,0.8235400000000003,0.6301,0.7272
